	text	created_at	id	user_screen_name	user_location	user_time_zone	coordinates	retweeted	in_reply_to_status_id	"in_reply_to_user_id""With Genetically Modified Crops"	" We Can Reclaim Unfarmable Fields the Size of France https://t.co/KInAnuqKe7 #sustainability #science #GMOs"""	4/26/17 17:21	8.57283E+17	TheHappyTalent	Unnamed: 14	Unnamed: 15	Unnamed: 16	FALSERT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10	2017-04-26 19:11:03	857311075058032640	ALHANOOFAK5	saudi,Alshrgya	Unnamed: 22	Unnamed: 23	False	Unnamed: 25	Unnamed: 26
16	"A lot of NONGMO activists on Hawaii eat meat and dairy from animals that are fed Monsanto GMO grains 
"	2017-04-26 19:05:08	857309589468987392	vegan_hawaii	✨HAWAII✨	Hawaii		False																			
17	"Ladies and gentlemen listen up we are being attacked in many formsour food genetically modified our 
"	2017-04-26 19:04:14	857309360195862528	juiceCjuice	940 dominguez suite k, Carson			False																			
18	"RT @scienega The GMO scientific consensus  its unequivocal and overwhelming 
"	2017-04-26 19:04:06	857309328465899521	ItsRobbAllen	Tampa, Florida	Eastern Time (US & Canada)		False																			
19	"Spider Man is a GMO
"	2017-04-26 19:03:51	857309265152929793	blackrosesoulx		Atlantic Time (Canada)		False																			
20	"@andrewzimmern no more GMO food I want to buy it from the farmer amp save money from Doctors that tell you eat whate 
"	2017-04-26 19:03:49	857309257766752260	normallife36				False	8.57306483709e+17	17008726.0																	
21	"Brilliant please retweet   GM crops  coalition agenda ignores public opinion and current research 
"	2017-04-26 19:03:42	857309228436000768	epicMA	Birmingham, UK	London		False																			
22	"I really regret eating #healthy today Said no one ever #choices #organic #nonGMO #alkaline 
"	2017-04-26 19:03:18	857309127600635904	My_Divine_Life	Global			False																			
23	"This lil bulk gain made me go from lil chicken strip to a plumped modified GMO chicken 
"	2017-04-26 19:02:40	857308967877332992	Fernbantu				False																			
24	"Shout out to @countrypetn for making quality pet food thats #raw #nongmo #allnatural #grainfree YUM 
"	2017-04-26 19:02:11	857308843931512833	DieselDonnaD	Sarasota, FL	Atlantic Time (Canada)		False																			
25	"i will NEVER stop laughing at genetically modified annoyance
"	2017-04-26 19:02:06	857308826579513344	maverickiris	Washington, USA	Pacific Time (US & Canada)		False																			
26	"SIGN PETITION TO STOP ALLOWING GMOS IN YOUR FOOD
#BETRAYAL
#BREAKING Trump pushes #GMOs in #ExecutiveOrder

"	2017-04-26 19:01:14	857308608295469057	opalessense	Tennessee, USA	Eastern Time (US & Canada)		False																			
27	"@justicehall69 @LotusOak @nocompulsoryvac Gates wants to lower the population amp make as much money as he can while 
"	2017-04-26 19:01:12	857308598598344704	AlafiaGrandma				False	8.57306008339e+17	8.10924463596e+17																	
28	"AquaBounty proposes to set up commercial GMO salmon production in Rollo Bay West   #PEIPoli #GMO
"	2017-04-26 19:01:01	857308552263761920	ecojustice_ca	Canada	Pacific Time (US & Canada)		False																			
29	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 19:00:57	857308536551858177	saratly	Where not-the-lonely ones go	Pacific Time (US & Canada)		False																			
30	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 19:00:31	857308425713307648	suk4ina_		Riyadh		False																			
31	"@Pioneer_Pet thanks for providing our shelter with SmartCat All Natural Litter #nongmo #cats #adoptdontshop 
"	2017-04-26 19:00:08	857308327994372098	TreeHouseCats	Chicago, IL	Central Time (US & Canada)		False		3246492185.0																	
32	"PT2 ESAU ROTHSCHILD NEW GENETICALLY MODIFIED TREESSMH  via @YouTube
"	2017-04-26 18:59:38	857308205344595968	RADIOGAULE				False																			
33	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:59:27	857308158104096771	Elaf_a47				False																			
34	"RT @TheToddWilliams grocery produce aisle
ME Hi are these genetically modified carrots
CLERK No why do you ask
CARROT Yeah why d
"	2017-04-26 18:59:23	857308140018249728	GordoHelio	Twitter's Actual Cat.	London		False																			
35	"RT @Gil_Don #Doctors Warn Avoid #GM #Food  #GMO #GMF #ExpediaChat #TaxReform #NetNeutrality #Ceres17 #Health #agriculture #USA 
"	2017-04-26 18:58:20	857307878310330368	magroupUK	United Kingdom			False																			
36	"RT @PamelaDrew @lilredhsb2 @deNutrients @robles_jdaniel @JulieM_273 @smgamesafari @adfoozsixx @Oteachjohn @30ASeawitch @peterdoodes @H_O_G
"	2017-04-26 18:58:05	857307815261503488	Flwrgirl66x				False																			
37	"RT @TheGOPJesus Boycott @NestleUSA for blocking GMO labeling
@VirginiaInCal @rosevine3 @LLaws2 @kavn @IRTKGMO @truthglow @kierobar @jelo1
"	2017-04-26 18:57:45	857307731794944000	kavn	Here, Now	Pacific Time (US & Canada)		False																			
38	" Truth or protecting market share #GMO #Monsanto #ag #organic #glyphosate #Roundup #marketing #sustainable 

"	2017-04-26 18:57:44	857307727181357056	deNutrients	USA	Eastern Time (US & Canada)		False																			
39	"RT @VirginiaInCal Boycott all @Starbucks products like #unicornfrappuccino for financing the blocking of GMO labeling laws amp selling unlab
"	2017-04-26 18:57:43	857307723192557569	VX6j5UFheggCyJW				False																			
40	"#Doctors Warn Avoid #GM #Food  #GMO #GMF #ExpediaChat #TaxReform #NetNeutrality #Ceres17 #Health #agriculture #USA 
"	2017-04-26 18:57:42	857307716460609536	Gil_Don	Adjuntas, Puerto Rico			False																			
41	"If you guys want to eat GMOs ignore this 
"	2017-04-26 18:57:11	857307587397779457	opalessense	Tennessee, USA	Eastern Time (US & Canada)		False																			
42	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:57:08	857307573028085760	Ra44444an	المملكة العربية السعودية			False																			
43	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:56:59	857307538613731331	1997Xer	المملكة العربية السعودية			False																			
44	"RT @Shaikha_jb97 #__2 food that got genetically modified 
"	2017-04-26 18:56:45	857307479155372033	seela777	الرياض			False																			
45	"RT @FatimahBuhaimed #__2
genetic engineering 
"	2017-04-26 18:56:16	857307356161601536	seela777	الرياض			False																			
46	"RT @AshA429 Tias Vegan Grocery Haul #vegan #govegan #organic #nongmo #tiablanco #vegansaresexy 
"	2017-04-26 18:55:58	857307280135606277	vegan_irish	Dublin City, Ireland			False																			
47	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:55:51	857307253531136000	seela777	الرياض			False																			
48	"RT @scienega The GMO scientific consensus  its unequivocal and overwhelming 
"	2017-04-26 18:55:45	857307227065024513	okayultra	Somewhere	Pacific Time (US & Canada)		False																			
49	"RT @scienega The GMO scientific consensus  its unequivocal and overwhelming 
"	2017-04-26 18:55:20	857307120991121409	GenomeEngineer	Seattle	Pacific Time (US & Canada)		False																			
50	"RT @debunkdenialism Study Linking Genetically Modified Corn to Rat Tumors Is Retracted  #GMO #GMOs
"	2017-04-26 18:55:19	857307115727147008	CriticalDragon1	United States	Arizona		False																			
51	"RT @IAmBiotech Indian farmers return to GM insectresistant Bt cotton after failure of nonGMO variety  
"	2017-04-26 18:55:03	857307050191323138	agbiotech		Eastern Time (US & Canada)		False																			
52	"RT @Shaikha_jb97 #__2 food that got genetically modified 
"	2017-04-26 18:55:02	857307045602746368	sana_mohd19	Saudi Arabia			False																			
53	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:54:48	857306988753104900	ANjoodalsuliman				False																			
54	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:54:36	857306935292571649	sana_mohd19	Saudi Arabia			False																			
55	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:54:29	857306908436430848	ANwiir	شوقي لك ماذبل  انا باقي انتظرك	Pacific Time (US & Canada)		False																			
56	"RT @FatimahBuhaimed #__2
genetic engineering 
"	2017-04-26 18:54:25	857306889092247553	rem0084				False																			
57	"The GMO scientific consensus  its unequivocal and overwhelming 
"	2017-04-26 18:54:16	857306853512007682	scienega	Seattle	Pacific Time (US & Canada)		False																			
58	"RT @FatimahBuhaimed #__2
genetic engineering 
"	2017-04-26 18:53:59	857306783760732160	sana_mohd19	Saudi Arabia			False																			
59	"@YourAnonNews @domdallaire GMO Crops  Hell no
Meats from Tubes  
"	2017-04-26 18:53:51	857306746771181572	Knopperz	Nordrhein-Westfalen, Deutschla	Berlin		False	8.57303248013e+17	279390084.0																	
60	"its all organic and gmo free 
"	2017-04-26 18:53:46	857306728869675008	sullyblue_		Pacific Time (US & Canada)		False																			
61	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:53:40	857306701757894656	judyali90				False																			
62	"RT @FarmFairyCrafts #GMOLabeling is a Matter of Transparency and the Right to Know Whats in Our #Food  
"	2017-04-26 18:53:25	857306640663666688	bendicoot	Wallingford, CT	Quito		False																			
63	"Delicious and under 8 bucks
#organic
#grassfed
#nongmo 
#petaluma 
#Zapper @ SlamBurger 
"	2017-04-26 18:53:12	857306586817196032	brettmorrow	Sonoma County, CA	Pacific Time (US & Canada)		False																			
64	" Lavender Essential Oil 100 Pure Organic Theraputic Grade Natural GMO  
"	2017-04-26 18:52:44	857306466792898560	bluesuedepumps	USA	Eastern Time (US & Canada)		False																			
65	"RT @OrganicFoodMaps BayerMonsanto  Hands off our Seeds Hands off our Food

#news #organic #food #gmo #monsanto
"	2017-04-26 18:52:25	857306386757283842	KLaitenberger	Leitrim			False																			
66	"RT @FunMoneyMom @Nutro recipes are made with real recognizable ingredients with a purpose Buy now  #NutroFeedCl
"	2017-04-26 18:51:56	857306267651629057	XterraWebEditor		Mountain Time (US & Canada)		False																			
67	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:51:55	857306263046299648	_ejoohfc	HA - DM.	Kyiv		False																			
68	"The latest We Say No To GMO  #gmo #gmos
"	2017-04-26 18:51:00	857306029243207680	KleenWater	USA	Eastern Time (US & Canada)		False																			
69	"Genetic Engineering Will Change Everything Forever  CRISPR 
"	2017-04-26 18:50:17	857305848875544577	mbhibberd	United States			False																			
70	"RT @atrembath @vpostrel @BloombergView Also @vpostrel suggests that GMOconventionalprocessed food can be just as satisfying as natura
"	2017-04-26 18:49:57	857305765123633153	jkellyca		Pacific Time (US & Canada)		False																			
71	"RT @mem_somerville So I hear 
@Google has some things for new fake item filtering I tried #GMO #FAIL Natural News photo Sigh 
"	2017-04-26 18:49:36	857305678519599106	Malko29		Athens		False																			
72	"The case of glyphosate Product promoters masquerading as regulators #GMOs #RightToKnow #GMO gw 
"	2017-04-26 18:49:32	857305660895117312	NoGMOsVerified				False																			
73	"RT @FillWerrell MAKE SURE YOU GUYS KNOW THE DIFFERENCES we need the bees  
"	2017-04-26 18:49:25	857305633560907776	Gmo_garrett	Steamboat Springs 			False																			
74	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:49:23	857305626258571265	SaraAlHammadi	saudi arabia	Quito		False																			
75	"My thoughts about @ChipotleTweets option for lunch

Id rather keep my money and eat a GMO nonbrowning apple 
"	2017-04-26 18:49:20	857305613205782528	AgProudRyan	Helena, Montana	America/Denver		False																			
76	"#BOYCOTT @NestleUSA amp ALL THEIR #GMO PRODUCTS @truthglow @vixenvalentino @robles_jdaniel 
"	2017-04-26 18:49:16	857305595728338944	FarmFairyCrafts	Austin, Texas	Central Time (US & Canada)		False																			
77	"RT @AlexEpstein Genetic engineering with #CRISPR could allow precision targetng of germs resistant to antibiotics #HumanFlourishing 
"	2017-04-26 18:48:59	857305524349566977	zheka2332				False																			
78	"RT @NonGMOProject @USDA will create plan for mandatory disclosure of #GMOs by 2018 but companies will not have to comply by then 
"	2017-04-26 18:48:49	857305481987080193	alethia2020	Kuala Lumpur City	Mumbai		False																			
79	"RT @tbhdaphne ILL TAKE ONE IN LARGE 
"	2017-04-26 18:48:48	857305478120058880	Gmo_garrett	Steamboat Springs 			False																			
80	"my aesthetic 
"	2017-04-26 18:48:47	857305473350905856	GMO_eater	xxxxxxx	Pacific Time (US & Canada)		False																			
81	"RT @TeriGentes Soy GMO breast cancer and surprising sources  #facts #science #disease #roundup #pesticides #hormo
"	2017-04-26 18:48:39	857305441788997632	iamthemacman	Montréal	Eastern Time (US & Canada)		False																			
82	"@hotdiggedydemon A lot of American milk has been found to have puss from cows due to infection in the udder because 
"	2017-04-26 18:48:17	857305347161296896	AnIrishComposer	Colorado, USA	Mountain Time (US & Canada)		False	8.57265125187e+17	27182493.0																	
83	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:47:59	857305271458201601	Awashba		Pacific Time (US & Canada)		False																			
84	"thanks gmo @geegeegeemoneyz 
"	2017-04-26 18:47:33	857305161684963328	endurae	pronouns: he/him	Atlantic Time (Canada)		False	8.57304412586e+17	2318169323.0																	
85	"RT @mem_somerville So I hear 
@Google has some things for new fake item filtering I tried #GMO #FAIL Natural News photo Sigh 
"	2017-04-26 18:47:30	857305151790567426	SimpleCorrect	Genève, Suisse			False																			
86	"@vpostrel @BloombergView Also @vpostrel suggests that GMOconventionalprocessed food can be just as satisfying a 
"	2017-04-26 18:47:08	857305056965672960	atrembath	San Francisco	Pacific Time (US & Canada)		False	8.57304259435e+17	35117516.0																	
87	"RT @AlexEpstein Genetic engineering with #CRISPR could allow precision targetng of germs resistant to antibiotics #HumanFlourishing 
"	2017-04-26 18:47:06	857305049210515457	Johhnalacog				False																			
88	"@JmsWmFox Next he can end GMO phood fluoridated water  hormones in food 
Health not Healthcare
Critical thinki 
"	2017-04-26 18:47:06	857305048610504704	suzettepetillo				False	8.57303510408e+17	3254663659.0																	
89	"RT @FatimahBuhaimed #__2
genetic engineering 
"	2017-04-26 18:46:44	857304957627838464	Alaa_1418_				False																			
90	"RT @FatimahBuhaimed #__2
genetic engineering 
"	2017-04-26 18:46:36	857304925335949313	A_Alshehri95	السُدس الأخير من الأرض 			False																			
91	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:46:17	857304843249229828	fatoooomy1418				False																			
92	"RT @Marlohanna It should bother you that organic food is labeled but food that is GENETICALLY MODIFIED is not required to be labeled 
"	2017-04-26 18:46:12	857304822437072902	kchigas		Hawaii		False																			
93	"@USDAFoodSafety @USDA There is no food safety when we eat #FDA approved cancer causing GMO 
"	2017-04-26 18:46:03	857304785854353415	AlafiaGrandma				False	8.57269564979e+17	20436059.0																	
94	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:46:00	857304774605242368	LamaMiyajan	khobar			False																			
95	"@weeabob hes going to be gaming again within the week
"	2017-04-26 18:45:34	857304662348709888	GMO_eater	xxxxxxx	Pacific Time (US & Canada)		False	8.57118073908e+17	29971417.0																	
96	"tell them bitter bitches put down the alcohol and pick up the water and cut put the gmo foods and meat 
"	2017-04-26 18:45:19	857304600935837697	Lottie_Dottie89	Lottie Dottie Land			False																			
97	"#Genetics#Genomics #SciPolDaily A dog family tree #GMO salmon in #Canada concerns about wholeexome sequencing 
"	2017-04-26 18:45:10	857304564239917056	DukeSciPol	Durham, NC	Eastern Time (US & Canada)		False																			
98	"We need more food crops for self sufficiency not just corporate Monsanto GMO laced exports 
"	2017-04-26 18:44:04	857304284928626692	StillUSA1st		America/New_York		False																			
99	"#__2
genetic engineering 
"	2017-04-26 18:43:44	857304201482948619	FatimahBuhaimed		Baghdad		False																			
100	"RT @FightAgainstGMO African Country Ditches GE Cotton NonGMO Cotton Output Rises 20 Percent  #GMO 
"	2017-04-26 18:43:26	857304128950870016	pam_cooper	Cape Town	London		False																			
101	"RT @PamelaDrew @lilredhsb2 @deNutrients @robles_jdaniel @JulieM_273 @smgamesafari @adfoozsixx @Oteachjohn @30ASeawitch @peterdoodes @H_O_G
"	2017-04-26 18:42:43	857303946162876416	beachvetlbc	Long Beach CA	Pacific Time (US & Canada)		False																			
102	"RT @FightAgainstGMO Symbolic Tribunal Finds Monsantos Actions Violate Global Food Health and Environmental Rights 
"	2017-04-26 18:41:04	857303533028339712	ReneeMu62638359				False																			
103	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:40:55	857303495585677312	joody_113				False																			
104	"@realDonaldTrump Upromised 2clean up America Dont forget 2outlaw GMO RFood Chain is killing us Monsanto is lying 2U putting them N medsampfood
"	2017-04-26 18:40:52	857303480549167104	KimtahGail	Florida, USA			False		25073877.0																	
105	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:40:49	857303470197657602	Ran_abdulaziz				False																			
106	"SpiderMan is a GMO
"	2017-04-26 18:40:43	857303444905963520	DeathBySplosion	Clarksville, TN	Central Time (US & Canada)		False																			
107	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:40:02	857303270511038465	xarwix	Ahsa, Kingdom of Saudi Arabia	Riyadh		False																			
108	"How do u eat SC Bars #NonGMO #EnergyBars #GlutenFree #DairyFree #Kosher We believe in being kind to our 
"	2017-04-26 18:38:25	857302864204615687	SimplyChopped	Stone Mountain, GA	Atlantic Time (Canada)		False																			
109	"RT @LotusOak Do you know which #Vaccines contain Human Protein#DNA

Find out here 

#LearnTheRisk #GMO 
"	2017-04-26 18:38:23	857302856692617220	luvLife_always		Central Time (US & Canada)		False																			
110	"Ill be collecting seeds and planting in the very near future legally amp medically #SaveTheSeeds no GMO no synthetic pot no pesticides
"	2017-04-26 18:38:22	857302853572059136	TreeHugginLovin	Toronto, Ontario 	Eastern Time (US & Canada)		False																			
111	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:37:58	857302750354427905	A_Alshehri95	السُدس الأخير من الأرض 			False																			
112	"Syngenta Defends GMO Corn as Merger Shifts Blame to China  via @markets
"	2017-04-26 18:37:44	857302691164409861	HopePjesky	Goltry, Oklahoma, USA			False																			
113	"@JadedChains I swear God created booze so o would become a genetic engineer
"	2017-04-26 18:37:28	857302625024438272	deathdealer313	The gates of hell			False	8.57299076031e+17	436050783.0																	
114	"#Reuters  India government thinktank backs local GM crop policy document 
"	2017-04-26 18:37:26	857302617034301440	GoAnimalNSave		Eastern Time (US & Canada)		False																			
115	"Vampire  that is genetically modified with a prehensile tongue
"	2017-04-26 18:37:23	857302606363930626	GlitchproBot	Transylvania			False																			
116	"if most human test trials are geared towards a 154lb male women cant be sure if GMO food is truly healthysafe fo 
"	2017-04-26 18:37:02	857302515108388864	damarra_s_	United States	Pacific Time (US & Canada)		False																			
117	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:36:41	857302427921502210	soos_04	Kingdom of Saudi Arabia			False																			
118	"New post India govt thinktank backs local GM crop policy document MON  042617 has been published on S  
"	2017-04-26 18:36:17	857302325987115009	BiedexTrading	Amsterdam	Amsterdam		False																			
119	"RT @stopgmonow US Sugar beet is 100 GMO 
"	2017-04-26 18:35:52	857302223218495495	AscensionKelsey	Lawrence, Kansas	Central Time (US & Canada)		False																			
120	"Solstice Farm #Heirloom Tomato Seeds #NonGMO 
"	2017-04-26 18:34:20	857301836394631168	FarmFairyCrafts	Austin, Texas	Central Time (US & Canada)		False																			
121	"RT @NonGMOProject Worlds first #GMO fish factory could be in Canada  
"	2017-04-26 18:33:57	857301739380379648	TrairL	Edmonton, Alberta			False																			
122	"@moyoungjr @ThomasWFleisch @Hillier_10 @LefLaneLivin @Will_Mungo @JuliusStoverr @kylienumbertwo @elliegrace_h 
"	2017-04-26 18:33:53	857301725623046150	zionyouthknows	On the road to Zion			False	8.57298848519e+17	408005000.0																	
123	"It is all happing NOW #Gratitude #kcor #accelerateyourbusiness #accelerate #vegas #nongmo #weightloss 
"	2017-04-26 18:33:49	857301707658842121	Athean	PA	Eastern Time (US & Canada)		False																			
124	"RT @savetheturtles2 @freshboxfarms I love your tender tasty lettuce Thankyou for providing healthy clean pesticide free non GMO reasonab
"	2017-04-26 18:33:35	857301646342311942	freshboxfarms	Boston, MA	Pacific Time (US & Canada)		False																			
125	"We have big Pharma pushing GMOs N Rmeds amp fake foods pushed by  Agriculture companies  ampour government Allowed 2ki 
"	2017-04-26 18:33:29	857301621029687298	KimtahGail	Florida, USA			False																			
126	"We are probiotics fighting on a ball of space dust that was terraformed for us by Annunaki
Ants genetically engineered to seek Au
Namaste
"	2017-04-26 18:33:09	857301539685355523	Jk_grinnell	Muskegon, MI			False																			
127	"RT @LotusOak Do you know which #Vaccines contain Human Protein#DNA

Find out here 

#LearnTheRisk #GMO 
"	2017-04-26 18:32:18	857301325801017352	iloveecopsych				False																			
128	"@TheMercedezXXX _ Im talking more about GMO foods most of which are plants
"	2017-04-26 18:32:03	857301263624527872	BaronAvAnga	Kekorot, Denkek			False	8.5729733011e+17	7.13031225142e+17																	
129	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 18:31:35	857301143977955328	anfaladel82	Kingdom of Saudi Arabia			False																			
130	"The rest of the #world is throwing #Monsanto out while #US embracing it #GMO 
"	2017-04-26 18:31:18	857301074667024384	Trendplayer007				False																			
131	"RT @GiveawayBandit @Nutro recipes are made with real recognizable ingredients with a purpose Buy now  #NutroFee
"	2017-04-26 18:31:15	857301061635162113	CoralieSeright	Utah	Central Time (US & Canada)		False																			
132	"Wow Genetically Modified foods are trash
"	2017-04-26 18:30:55	857300977866743808	Vhonie_Mula	Rennes, France			False																			
133	"RT @TheToddWilliams grocery produce aisle
ME Hi are these genetically modified carrots
CLERK No why do you ask
CARROT Yeah why d
"	2017-04-26 18:30:51	857300959835418628	EdwinLazoAvila	Uppsala, Sverige	Athens		False																			
134	"RT @scranemd @deNutrients @DavidKucher @JulieM_273 @peterdoodes @robles_jdaniel @30ASeawitch @lilredhsb2 @H_O_G_ @LOV_MotherEarth @thefood
"	2017-04-26 18:30:32	857300879220785152	beachvetlbc	Long Beach CA	Pacific Time (US & Canada)		False																			
135	"in sec 5 contemp class Jenna and I made a presentation on how GMOs arent actually bad and episode 4 of bill nye said were right sooo 
"	2017-04-26 18:30:27	857300861332197376	jesscharlebois	montréal 	Eastern Time (US & Canada)		False																			
136	"Farmers should be able to choose whats right for them #GMO 
"	2017-04-26 18:30:16	857300815157088257	mem_somerville		Eastern Time (US & Canada)		False																			
137	"#__2 genetically modified plants 
"	2017-04-26 18:30:07	857300776636600321	LatifahAB_		Hawaii		False																			
138	"The National Academies Concedes on GMO Conflicts of Interest  Food and Water Watch 
"	2017-04-26 18:30:05	857300766591025152	ES_Organics	Denver, Co 	Mountain Time (US & Canada)		False																			
139	"RT @RealFKNNews Physicians for Social Responsibility Support Labeling of GMO Foods  PSR  
"	2017-04-26 18:29:43	857300673632718848	cosmicfirepeace				False																			
140	"@RonsNewsFeed thats funny  hundreds of millions of people are dying from GMOS and Vaccine poison and they dont get this much coverage
"	2017-04-26 18:29:36	857300647837913101	TrutherbotJKR	America The Concentration Camp	Pacific Time (US & Canada)		False	8.57291733524e+17	1246177122.0																	
141	"RT @biotechaction Worlds first #GMO fish factory could be built in Canada Todays press release #stopGMsalmon #peipoli #cdnpoli  
"	2017-04-26 18:29:32	857300627562651648	TrairL	Edmonton, Alberta			False																			
142	"@CBDiekman  joins @wgso program for a discussion on GMOs and nutrition Her segment starts at 32730  
"	2017-04-26 18:29:01	857300497405005834	agbiotech		Eastern Time (US & Canada)		False		23083222.0																	
143	"You can now get full GM info on thousands of supermarket foods in the UK with the Shop GMO Free App 
"	2017-04-26 18:28:29	857300365330567170	TheHolisticWork		London		False																			
144	"The latest Green Life Daily  #gmo #gmos
"	2017-04-26 18:27:51	857300206559350784	mattwinters	West Jordan, UT	Mountain Time (US & Canada)		False																			
145	"RT @NonGMOProject Worlds first #GMO fish factory could be in Canada  
"	2017-04-26 18:27:36	857300143653212162	wisdomtwosee				False																			
146	"@ThomasRhett @GeneralMills When General Mills stops using GMOs in their products I would be very happy to take my picture with them #GMO
"	2017-04-26 18:27:16	857300060576632836	strauss2512				False	8.57274421136e+17	75449249.0																	
147	"Physicians for Social Responsibility Support Labeling of GMO Foods  PSR  
"	2017-04-26 18:27:08	857300024266563584	RealFKNNews	All over the place	Pacific Time (US & Canada)		False																			
148	"RT @R_Elly21 Found this little piece in The Furrow to be very informative on the benefits of GMO crops when it comes to GHG 
"	2017-04-26 18:27:00	857299992578543616	J2Mull	Rosser, mb	Central Time (US & Canada)		False																			
149	"Typical GMO graph for science illiterate morons What does it say or mean Absofucking lutely nothing 
"	2017-04-26 18:26:58	857299983824965633	beachvetlbc	Long Beach CA	Pacific Time (US & Canada)		False																			
